S/N,Sample_URL,Domain,IP,TARGET,Date_Submitted,PhishTank_ID,Domain_Age,Registrar,VT_Score,URLScan_Result,Risk_Level,COUNTRY,MITRE_Techniques
1,http://green-dot-moneypak.com,green-dot-moneypak.com,208.115.234.114,Green Dot MoneyPak,"May 5, 2026",9415685,1 month,"name.com, inc",1\92,No classification - convincing fake MoneyPak website,High risk,United States,"T1556, T1566.002, T1583.001, T1598.003"
2,https://amzn-update-adb-load.s3.us-east-1.amazonaws.com/indexgateway.h...,amzn-update-adb-load.s3.us-east-1.amazonaws.com,52.217.89.40,Amazon,"May 4, 2026",9415195,2 days,Privacy protected,0\92,No classification - raw XML/code exposed on S3 bucket,High risk,United States,"T1556, T1566.002, T1583.001, T1598.003"
3,https://www.monttyfinance.com/auth?mode=login,www.monttyfinance.com,216.198.79.1,Montty,"May 4, 2026",9415099,5 month,Go daddy,1\92,No classification - appears to be legitimate finance app,medium risk,United States,"T1556, T1566.002, T1583.001, T1598.003"
4,https://secure-web.cisco.com/1uXErUU42UcdBmbOa9sptdXdpsfOb8G-dO00g_iwp...,secure-web.cisco.com,72.163.4.185,Cisco,"May 4, 2026",9415084,13 years,Mark Monitor,0\92,No classification - legitimate cisco domain,Clean,United States,"T1556, T1566.002"
5,https://a-ur-whatsapp.com.cn/,a-ur-whatsapp.com.cn,172.67.198.67,Whatsapp,"May 4, 2026",9414825,Unknown,Privacy protected,17\92,Potentially Malicious - Google Safe Browsing confirmed Malicious,High risk,United States,"T1556, T1566.002, T1583.001, T1598.003"
6,https://www.spotifypremi.com,www.spotifypremi.com,172.67.205.150,Spotify,"May 4, 2026",9414818,1 years,Dynadot Inc,5\92,No classification - Google Safe Browsing flags as Malicious,Low,United States,"T1556, T1566.002, T1583.001"
7,https://bookingapp.co.il/wp-admin/,bookingapp.co.il,185.145.254.111,Booking.com,"May 4, 2026",9414809,4 years,"DREAMVPS DREAM VPS LTD, IL",0\92,"No classification - blank page, WordPress detected",Low,Isreal,"T1556, T1566.002, T1598.003"
8, https://facebook-request.program-ads-agency.com/..,facebook-request.program-ads-agency.com,172.66.0.96,Facebook,"May 4, 2026",9414792,1 month,"Gransy, s.r.o.",23\92,Potential Malicious - Targeting Facebook,high risk,United States,"T1556, T1566.002, T1583.001, T1598.003"
9,https://binance-cn.at/,binance-cn.at,142.250.154.94,Binance,"May 2, 2026",9412394,Unknown,Privacy protected,4\92,No classification - Google Safe Browsing flags as Malicious,High risk,United States,"T1556, T1566.002, T1583.001, T1598.003"
10,https://www.sikayetvar.com/hata?page=10,www.sikayetvar.com,172.67.73.115,Unknown,"May 2, 2026",9412495,11 years,"Network Solutions, LLC",1\92,legitimate website - possible false positive,Low,United States,"T1556, T1566.002"
11,"	https://www-currently-sign-in-247e11.webflow.io/...",www-currently-sign-in-247e11.webflow.io,104.18.36.248,Webflow,"May 1, 2026",9411323,5 days,Privacy protected,19\93,"No classification - Google Safe Browsing confirmed Malicious, page now 404",High risk,United States,"T1556, T1566.002, T1583.001, T1598.003"
